t_values,ir_values,red_values
7.161136,41514.0,59671.0
7.173652,41514.0,59697.0
7.186164,41531.0,59704.0
7.198968,41535.0,59709.0
7.209896,41534.0,59711.0
7.223344,41538.0,59733.0
7.235856,41540.0,59769.0
7.248364,41555.0,59770.0
7.26088,41547.0,59778.0
7.273388,41553.0,59793.0
7.286184,41563.0,59803.0
7.297108,41567.0,59800.0
7.31054,41556.0,59795.0
7.323056,41574.0,59808.0
7.335564,41554.0,59818.0
7.348068,41566.0,59812.0
7.360592,41568.0,59808.0
7.373388,41564.0,59823.0
7.384312,41555.0,59827.0
7.39776,41581.0,59813.0
7.410264,41571.0,59836.0
7.42278,41576.0,59827.0
7.435296,41566.0,59854.0
7.447796,41574.0,59827.0
7.46032,41572.0,59833.0
7.473116,41567.0,59840.0
7.48404,41587.0,59832.0
7.49748,41573.0,59843.0
7.509988,41573.0,59829.0
7.522512,41571.0,59834.0
7.535024,41554.0,59803.0
7.547532,41556.0,59768.0
7.560336,41534.0,59755.0
7.571256,41522.0,59739.0
7.584704,41521.0,59674.0
7.59722,41518.0,59636.0
7.609732,41513.0,59613.0
7.622252,41494.0,59568.0
7.634764,41486.0,59522.0
7.64756,41490.0,59523.0
7.658488,41482.0,59531.0
7.671936,41480.0,59483.0
7.684448,41480.0,59480.0
7.696964,41484.0,59441.0
7.709468,41466.0,59444.0
7.721984,41483.0,59425.0
7.734788,41466.0,59413.0
7.745712,41472.0,59426.0
7.75916,41461.0,59441.0
7.771672,41469.0,59415.0
7.78418,41474.0,59403.0
7.7967,41459.0,59416.0
7.809212,41460.0,59411.0
7.822012,41464.0,59395.0
7.83294,41460.0,59404.0
7.846372,41469.0,59399.0
7.858892,41456.0,59398.0
7.871404,41455.0,59399.0
7.883924,41461.0,59391.0
7.89644,41459.0,59379.0
7.909232,41460.0,59381.0
7.920156,41453.0,59365.0
7.933588,41442.0,59353.0
7.946096,41444.0,59321.0
7.958616,41450.0,59304.0
7.97112,41458.0,59310.0
7.983632,41434.0,59294.0
7.99644,41438.0,59273.0
8.00736,41432.0,59279.0
8.0208,41441.0,59259.0
8.033312,41417.0,59258.0
8.045812,41414.0,59267.0
8.058328,41407.0,59276.0
8.070836,41433.0,59264.0
8.083344,41426.0,59284.0
8.096156,41427.0,59271.0
8.10708,41423.0,59265.0
8.120516,41413.0,59262.0
8.133024,41438.0,59285.0
8.145532,41435.0,59294.0
8.158048,41435.0,59315.0
8.170568,41436.0,59314.0
8.183364,41467.0,59331.0
8.194292,41443.0,59333.0
8.20772,41469.0,59335.0
8.220236,41467.0,59371.0
8.232744,41474.0,59370.0
8.245256,41467.0,59383.0
8.257764,41472.0,59366.0
8.270272,41459.0,59371.0
8.283072,41493.0,59400.0
8.293996,41472.0,59371.0
8.307424,41479.0,59391.0
8.319936,41466.0,59404.0
8.332444,41491.0,59397.0
8.344956,41496.0,59422.0
8.357472,41478.0,59420.0
8.370268,41480.0,59415.0
8.381184,41480.0,59421.0
8.394624,41481.0,59427.0
8.40714,41493.0,59437.0
8.419648,41493.0,59454.0
8.43216,41500.0,59460.0
8.444664,41508.0,59468.0
8.457176,41495.0,59458.0
8.469976,41518.0,59458.0
8.4809,41513.0,59457.0
8.49434,41476.0,59429.0
8.506848,41477.0,59421.0
8.519364,41501.0,59395.0
8.531868,41496.0,59404.0
8.544384,41504.0,59392.0
8.557184,41501.0,59384.0
8.568112,41488.0,59411.0
8.581556,41502.0,59396.0
8.594072,41494.0,59381.0
8.606576,41485.0,59372.0
8.6191,41498.0,59371.0
8.6316,41497.0,59390.0
8.644108,41519.0,59412.0
8.656916,41517.0,59404.0
8.667832,41505.0,59413.0
8.681276,41512.0,59406.0
8.693796,41513.0,59422.0
8.706292,41502.0,59427.0
8.718816,41520.0,59427.0
8.731328,41520.0,59432.0
8.744116,41524.0,59450.0
8.755036,41526.0,59437.0
8.768476,41531.0,59449.0
8.780992,41509.0,59478.0
8.793504,41538.0,59492.0
8.806012,41553.0,59480.0
8.818528,41571.0,59502.0
8.831332,41537.0,59519.0
8.84226,41545.0,59518.0
8.8557,41559.0,59527.0
8.868212,41557.0,59525.0
8.880724,41561.0,59537.0
8.893236,41566.0,59539.0
8.905748,41577.0,59540.0
8.918544,41568.0,59545.0
8.929468,41558.0,59561.0
8.942904,41577.0,59552.0
8.95542,41562.0,59562.0
8.967932,41571.0,59562.0
8.980444,41570.0,59567.0
8.992964,41577.0,59574.0
9.005472,41582.0,59590.0
9.018276,41582.0,59601.0
9.0292,41582.0,59587.0
9.042628,41588.0,59613.0
9.055144,41583.0,59643.0
9.06766,41586.0,59636.0
9.080184,41610.0,59689.0
9.092692,41616.0,59699.0
9.105492,41610.0,59712.0
9.116412,41629.0,59716.0
9.12984,41625.0,59752.0
9.142348,41626.0,59778.0
9.154852,41616.0,59760.0
9.167352,41637.0,59773.0
9.179852,41630.0,59796.0
9.192356,41628.0,59773.0
9.205144,41629.0,59784.0
9.216068,41624.0,59777.0
9.229488,41619.0,59749.0
9.241996,41613.0,59757.0
9.254496,41614.0,59759.0
9.266996,41643.0,59729.0
9.279504,41611.0,59718.0
9.292,41612.0,59711.0
9.304504,41630.0,59699.0
9.317288,41627.0,59696.0
9.328212,41604.0,59684.0
9.341632,41598.0,59674.0
9.354136,41629.0,59680.0
9.366648,41618.0,59660.0
9.379152,41618.0,59681.0
9.39166,41623.0,59670.0
9.404164,41637.0,59684.0
9.41666,41621.0,59683.0
9.429448,41635.0,59690.0
9.440376,41624.0,59697.0
9.453796,41632.0,59725.0
9.4663,41644.0,59739.0
9.478804,41642.0,59733.0
9.491304,41648.0,59757.0
9.503812,41663.0,59743.0
9.516316,41644.0,59756.0
9.52882,41663.0,59787.0
9.541604,41660.0,59791.0
9.552532,41647.0,59779.0
9.565964,41662.0,59796.0
9.578468,41652.0,59804.0
9.59098,41650.0,59805.0
9.603484,41655.0,59804.0
9.615984,41667.0,59814.0
9.628488,41654.0,59842.0
9.64128,41676.0,59830.0
9.652208,41678.0,59816.0
9.665644,41668.0,59816.0
9.67814,41684.0,59842.0
9.690644,41678.0,59846.0
9.703144,41666.0,59837.0
9.715648,41674.0,59846.0
9.728152,41689.0,59844.0
9.740656,41660.0,59871.0
9.753444,41690.0,59853.0
9.764368,41672.0,59873.0
9.7778,41684.0,59878.0
9.790308,41686.0,59880.0
9.80282,41694.0,59878.0
9.81532,41682.0,59879.0
9.827824,41678.0,59877.0
9.840328,41689.0,59909.0
9.853116,41710.0,59896.0
9.86404,41697.0,59898.0
9.877476,41710.0,59903.0
9.889984,41687.0,59914.0
9.902484,41700.0,59927.0
9.914988,41704.0,59935.0
9.927492,41689.0,59949.0
9.940004,41695.0,59939.0
9.952788,41703.0,59954.0
9.963716,41705.0,59948.0
9.977144,41695.0,59946.0
9.989648,41707.0,59947.0
10.002152,41701.0,59944.0
10.014704,41711.0,59946.0
10.027252,41704.0,59926.0
10.040092,41678.0,59917.0
10.05106,41700.0,59917.0
10.064528,41693.0,59895.0
10.07708,41711.0,59884.0
10.089908,41690.0,59871.0
10.100876,41691.0,59878.0
10.11436,41675.0,59885.0
10.126904,41688.0,59889.0
10.139736,41691.0,59902.0
10.150708,41671.0,59884.0
10.164184,41679.0,59887.0
10.176732,41695.0,59874.0
10.189564,41708.0,59888.0
10.200536,41704.0,59900.0
10.214008,41691.0,59884.0
10.22656,41695.0,59890.0
10.239392,41688.0,59905.0
10.25036,41696.0,59909.0
10.263836,41694.0,59915.0
10.276392,41694.0,59891.0
10.289224,41694.0,59916.0
10.300192,41695.0,59914.0
10.313672,41707.0,59900.0
10.326224,41671.0,59908.0
10.338776,41694.0,59902.0
10.351612,41680.0,59919.0
10.36258,41687.0,59919.0
10.376052,41689.0,59913.0
10.388604,41682.0,59911.0
10.401444,41693.0,59911.0
10.412412,41701.0,59918.0
10.425884,41692.0,59930.0
10.438436,41695.0,59930.0
10.451272,41689.0,59938.0
10.462244,41690.0,59935.0
10.475712,41686.0,59937.0
10.488268,41689.0,59952.0
10.5011,41709.0,59956.0
10.512064,41689.0,59954.0
10.525536,41703.0,59951.0
10.538092,41703.0,59956.0
10.550928,41692.0,59955.0
10.561892,41704.0,59984.0
10.57536,41700.0,59969.0
10.587908,41696.0,59972.0
10.600748,41704.0,59978.0
10.611724,41705.0,59972.0
10.625188,41709.0,59992.0
